,Final,Game Number,ID,Points,Round,Team Name,Rank
26,18,3,25252,1529,7,Casting Crouch,131.0
27,18,4,397,1720,7,Man of Steele,33.5
28,18,1,831,1508,8,Salt&VinegarCripps,141.5
29,18,2,7061,1884,8,DEVQON.1,2.0
30,18,3,11070,1583,8,Fire The Worpedo,106.0
31,18,4,25252,1549,8,Casting Crouch,122.0
32,18,1,2501,1632,9,Swimming n Titch,78.5
33,18,2,831,1605,9,Salt&VinegarCripps,95.5
34,18,3,7061,1765,9,DEVQON.1,19.0
35,18,4,11070,1812,9,Fire The Worpedo,9.0
36,18,1,8740,1686,10,Barbeques Treloar,49.5
37,18,2,2501,1746,10,Swimming n Titch,24.5
38,18,3,831,1627,10,Salt&VinegarCripps,82.5
39,17,4,7061,1471,10,DEVQON.1,149.0
40,18,1,397,1597,11,Man of Steele,100.0
41,18,2,8740,1551,11,Barbeques Treloar,120.5
42,17,3,2501,1551,11,Swimming n Titch,120.5
43,18,4,831,1691,11,Salt&VinegarCripps,45.0
44,15,1,25252,1262,12,Casting Crouch,177.5
45,11,2,397,1020,12,Man of Steele,183.0
46,16,3,8740,1603,12,Barbeques Treloar,97.0
47,17,4,2501,1465,12,Swimming n Titch,151.5
48,15,1,11070,1225,13,Fire The Worpedo,180.0
49,16,2,25252,1418,13,Casting Crouch,158.0
50,13,3,397,1133,13,Man of Steele,181.0
51,17,4,8740,1326,13,Barbeques Treloar,173.0
52,16,1,7061,1365,14,DEVQON.1,168.0
53,15,2,11070,1284,14,Fire The Worpedo,175.0
54,16,3,25252,1486,14,Casting Crouch,147.0
55,15,4,397,1465,14,Man of Steele,151.5
56,18,1,831,1517,15,Salt&VinegarCripps,139.0
57,18,2,7061,1845,15,DEVQON.1,4.0
58,18,3,11070,1608,15,Fire The Worpedo,93.0
59,18,4,25252,1548,15,Casting Crouch,123.0
60,18,1,2501,1738,16,Swimming n Titch,28.0
61,18,2,831,1787,16,Salt&VinegarCripps,15.5
62,17,3,7061,1521,16,DEVQON.1,138.0
63,17,4,11070,1370,16,Fire The Worpedo,167.0
64,18,1,8740,1639,17,Barbeques Treloar,75.0
65,18,2,2501,1526,17,Swimming n Titch,132.5
66,17,3,831,1262,17,Salt&VinegarCripps,177.5
67,18,4,7061,1625,17,DEVQON.1,84.0
68,18,1,397,1600,18,Man of Steele,98.0
69,18,2,8740,1357,18,Barbeques Treloar,170.0
70,18,3,2501,1654,18,Swimming n Titch,68.0
71,18,4,831,1558,18,Salt&VinegarCripps,117.0
72,18,1,25252,1569,19,Casting Crouch,110.5
73,18,2,397,1911,19,Man of Steele,1.0
74,18,3,8740,1539,19,Barbeques Treloar,129.0
