,Round,Match Name,Team ID,Team Name,id,Full Name,pos,team,team_opponent,pts,On Field?
8,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,748,Jack Macrae,MID,WBD,FRE,85,True
9,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,73,Hugh McCluggage,MID,BRL,GCS,80,True
10,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,252,Ed Langdon,MID,FRE,WBD,84,True
11,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,582,Sam Powell-Pepper,MID,PTA,NTH,80,True
12,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,431,Ben McEvoy,RUC,HAW,CAR,117,True
13,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,641,Jack Billings,FWD,STK,ADE,81,True
14,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,695,Isaac Heeney,FWD,SYD,GWS,74,True
15,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,346,Sam Menegola,FWD,GEE,WCE,85,True
16,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,299,Jack Martin,FWD,GCS,BRL,65,True
17,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,82,Mitch Robinson,FWD,BRL,GCS,125,True
0,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,759,Matthew Suckling,DEF,WBD,FRE,0,False
1,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,516,Shaun Higgins,MID,NTH,PTA,0,False
2,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,13,Bryce Gibbs,MID,ADE,STK,0,False
3,6,DEVQON.1 vs Casting Crouch,25252,Casting Crouch,604,Trent Cotchin,MID,RIC,MEL,0,False
0,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,164,Darcy Moore,DEF,COL,ESS,77,True
1,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,673,Shane Savage,DEF,STK,ADE,121,True
2,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,526,Jasper Pittard,DEF,NTH,PTA,80,True
3,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,489,Christian Salem,DEF,MEL,RIC,77,True
4,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,288,Jarrod Harbrow,DEF,GCS,BRL,86,True
5,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,173,Steele Sidebottom,MID,COL,ESS,89,True
6,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,485,Clayton Oliver,MID,MEL,RIC,105,True
7,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,373,Stephen Coniglio,MID,GWS,SYD,103,True
8,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,405,Tim Taranto,MID,GWS,SYD,136,True
9,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,424,Ricky Henderson,MID,HAW,CAR,62,True
10,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,38,Rory Sloane,MID,ADE,STK,78,True
11,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,584,Tom Rockliff,MID,PTA,NTH,100,True
12,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,70,Stefan Martin,RUC,BRL,GCS,93,True
13,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,223,Devon Smith,FWD,ESS,COL,35,True
14,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,665,Jack Newnes,FWD,STK,ADE,95,True
15,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,26,Tom Lynch,FWD,ADE,STK,95,True
16,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,253,Rory Lobb,FWD,FRE,WBD,75,True
17,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,548,Travis Boak,FWD,PTA,NTH,129,True
0,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,364,Zach Tuohy,DEF,GEE,WCE,80,False
1,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,31,Wayne Milera,DEF,ADE,STK,0,False
2,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,676,Jack Steven,MID,STK,ADE,92,False
3,6,DEVQON.1 vs Casting Crouch,7061,DEVQON.1,661,Rowan Marshall,FWD,STK,ADE,0,False
0,6,Salt&VinegarCripps vs Man of Steele,397,Man of Steele,520,Jamie Macmillan,DEF,NTH,PTA,55,True
1,6,Salt&VinegarCripps vs Man of Steele,397,Man of Steele,361,Tom Stewart,DEF,GEE,WCE,98,True
2,6,Salt&VinegarCripps vs Man of Steele,397,Man of Steele,25,Rory Laird,DEF,ADE,STK,124,True
3,6,Salt&VinegarCripps vs Man of Steele,397,Man of Steele,614,Bachar Houli,DEF,RIC,MEL,142,True
4,6,Salt&VinegarCripps vs Man of Steele,397,Man of Steele,551,Ryan Burton,DEF,PTA,NTH,64,True
