,Round,Team ID,Team Name,Coach,wins,draws,losses,points,rank,rank_number
0,6,831,Salt&VinegarCripps,Anthony,2,0,4,8,7th,7
0,6,11070,Fire The Worpedo,James,1,0,5,4,8th,8
0,7,397,Man of Steele,Luke,6,0,1,24,1st,1
0,7,7061,DEVQON.1,Lester,5,0,2,20,2nd,2
0,7,8740,Barbeques Treloar,Simon,4,0,3,16,3rd,3
0,7,344,TryingAnewStratton,Paul,3,0,4,12,4th,4
0,7,25252,Casting Crouch,Jordan,3,0,4,12,5th,5
0,7,831,Salt&VinegarCripps,Anthony,3,0,4,12,6th,6
0,7,2501,Swimming n Titch,Mark,3,0,4,12,7th,7
0,7,11070,Fire The Worpedo,James,1,0,6,4,8th,8
0,8,397,Man of Steele,Luke,7,0,1,28,1st,1
0,8,7061,DEVQON.1,Lester,6,0,2,24,2nd,2
0,8,344,TryingAnewStratton,Paul,4,0,4,16,3rd,3
0,8,8740,Barbeques Treloar,Simon,4,0,4,16,4th,4
0,8,25252,Casting Crouch,Jordan,3,0,5,12,5th,5
0,8,831,Salt&VinegarCripps,Anthony,3,0,5,12,6th,6
0,8,2501,Swimming n Titch,Mark,3,0,5,12,7th,7
0,8,11070,Fire The Worpedo,James,2,0,6,8,8th,8
0,9,397,Man of Steele,Luke,8,0,1,32,1st,1
0,9,7061,DEVQON.1,Lester,6,0,3,24,2nd,2
0,9,344,TryingAnewStratton,Paul,5,0,4,20,3rd,3
0,9,8740,Barbeques Treloar,Simon,4,0,5,16,4th,4
0,9,831,Salt&VinegarCripps,Anthony,4,0,5,16,5th,5
0,9,25252,Casting Crouch,Jordan,3,0,6,12,6th,6
0,9,11070,Fire The Worpedo,James,3,0,6,12,7th,7
0,9,2501,Swimming n Titch,Mark,3,0,6,12,8th,8
0,10,397,Man of Steele,Luke,8,0,2,32,1st,1
0,10,7061,DEVQON.1,Lester,6,0,4,24,2nd,2
0,10,344,TryingAnewStratton,Paul,6,0,4,24,3rd,3
0,10,831,Salt&VinegarCripps,Anthony,5,0,5,20,4th,4
0,10,8740,Barbeques Treloar,Simon,4,0,6,16,5th,5
0,10,11070,Fire The Worpedo,James,4,0,6,16,6th,6
0,10,2501,Swimming n Titch,Mark,4,0,6,16,7th,7
0,10,25252,Casting Crouch,Jordan,3,0,7,12,8th,8
0,11,397,Man of Steele,Luke,8,0,3,32,1st,1
0,11,344,TryingAnewStratton,Paul,7,0,4,28,2nd,2
0,11,7061,DEVQON.1,Lester,6,0,5,24,3rd,3
0,11,831,Salt&VinegarCripps,Anthony,6,0,5,24,4th,4
0,11,8740,Barbeques Treloar,Simon,5,0,6,20,5th,5
0,11,11070,Fire The Worpedo,James,5,0,6,20,6th,6
0,11,2501,Swimming n Titch,Mark,4,0,7,16,7th,7
0,11,25252,Casting Crouch,Jordan,3,0,8,12,8th,8
0,12,397,Man of Steele,Luke,8,0,4,32,1st,1
0,12,344,TryingAnewStratton,Paul,7,0,5,28,2nd,2
0,12,831,Salt&VinegarCripps,Anthony,7,0,5,28,3rd,3
0,12,8740,Barbeques Treloar,Simon,6,0,6,24,4th,4
0,12,7061,DEVQON.1,Lester,6,0,6,24,5th,5
0,12,11070,Fire The Worpedo,James,6,0,6,24,6th,6
0,12,25252,Casting Crouch,Jordan,4,0,8,16,7th,7
0,12,2501,Swimming n Titch,Mark,4,0,8,16,8th,8
0,13,344,TryingAnewStratton,Paul,8,0,5,32,1st,1
0,13,831,Salt&VinegarCripps,Anthony,8,0,5,32,2nd,2
0,13,397,Man of Steele,Luke,8,0,5,32,3rd,3
0,13,7061,DEVQON.1,Lester,6,0,7,24,4th,4
0,13,8740,Barbeques Treloar,Simon,6,0,7,24,5th,5
0,13,11070,Fire The Worpedo,James,6,0,7,24,6th,6
0,13,25252,Casting Crouch,Jordan,5,0,8,20,7th,7
0,13,2501,Swimming n Titch,Mark,5,0,8,20,8th,8
0,14,344,TryingAnewStratton,Paul,9,0,5,36,1st,1
0,14,397,Man of Steele,Luke,9,0,5,36,2nd,2
