,id,feed_id,ln,fn,fi,pos,pos2,posn,pos2n,team_id,team,teamfull,pic,gs,rds,avg,mp,tmp,tog,ppm,tppm,avg3,avg5,form,pts,tpts,livepts,mvp,rank,lrank,rank_change,rdrank,ski,tski,sha,tsha,sma,tsma,sta,tsta,sfk,tsfk,sfa,tsfa,shi,tshi,sgl,tsgl,sbh,tsbh,status,status_comment,std,sels,selspct,selspctraw,opp,team_played_status,hot,cold,phot,pcold,ccow,wele,rd,index,p1,p2,p3,kickoff_time,match_status,team_opponent,played_status,fn_i,points,proj_points,stats.kicks,stats.handballs,stats.marks,stats.tackles,stats.freekicks_for,stats.freekicks_against,stats.hitouts,stats.goals,stats.behinds,Round,Match Name,Match Name with Team Name,Team ID,Team Name,Coach,Full Name,On Field?
2,394,280762,Mumford,Shane,S,RUC,,Ruck,,18,GWS,GWS Giants,FALSE,1,12,85.92,116,1243,103.5833333,0.456896552,0.829444891,89.67,75.6,75.6,53,1031,13,4844.228904,230,229,-1,314,4,30,5,85,0,19,1,47,0,22,-4,-47,11,433,0,0,0,2,none,,,1536,4.10%,4.090545939,GCS,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,16,R,U,C,1566638700,WIN &lt;br&gt;122 - 75,COL,post,S,53,81,4,5,0,1,0,-4,11,0,0,18,Paul vs Luke,TryingAnewStratton vs Man of Steele,344,TryingAnewStratton,Paul,Shane Mumford,FALSE
3,351,298419,Parfitt,Brandan,B,FWD,,Forward,,7,GEE,Geelong,FALSE,0,14,78.71,0,1243,88.78571429,0,0.886564763,65,76.4,76.4,0,1102,0,5025.771325,203,178,-25,397,0,132,0,124,0,28,0,81,0,19,0,-13,0,0,0,3,0,2,none,,,1647,4.40%,4.386151798,CAR,post,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18,19,F,W,D,1566628500,LOSS &lt;br&gt;61 - 85,HAW,post,B,0,70,0,0,0,0,0,0,0,0,0,18,Paul vs Luke,TryingAnewStratton vs Man of Steele,344,TryingAnewStratton,Paul,Brandan Parfitt,FALSE
0,478,281085,May,Steven,S,DEF,,Defender,,10,MEL,Melbourne,TRUE,1,7,68.29,111,740,105.7142857,0.621621622,0.645945946,66.33,74.8,74.8,69,478,0,5576.569038,419,431,12,223,12,92,2,15,3,26,2,9,1,4,-1,-9,0,1,0,1,0,2,none,,,1774,4.70%,4.72436751,NTH,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,1,D,E,F,1566619800,LOSS &lt;br&gt;78 - 91,WCE,post,S,69,73,12,2,3,2,1,-1,0,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Steven May,TRUE
1,384,295265,Haynes,Nick,N,DEF,,Defender,,18,GWS,GWS Giants,TRUE,1,15,83.07,114,1566,104.4,0.50877193,0.795657727,77.33,79.6,79.6,58,1246,85,4897.271268,147,147,0,291,9,188,4,71,7,111,1,22,0,7,0,-6,0,0,0,1,0,2,none,,,1027,2.70%,2.735019973,GCS,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,3,D,E,F,1566638700,WIN &lt;br&gt;122 - 75,COL,post,N,58,81,9,4,7,1,0,0,0,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Nick Haynes,TRUE
2,774,990290,Barrass,Tom,T,DEF,,Defender,,16,WCE,West Coast,TRUE,1,7,76.29,105,711,101.5714286,0.504761905,0.751054852,70,73.4,73.4,53,534,74,5122.846442,405,410,5,314,8,72,1,10,4,45,1,3,2,7,-1,-2,0,12,0,0,0,0,none,,,390,1.00%,1.03861518,HAW,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,4,D,E,F,1566641400,WIN &lt;br&gt;91 - 78,MEL,post,T,53,78,8,1,4,1,2,-1,0,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Tom Barrass,TRUE
3,47,996059,Andrews,Harris,H,DEF,,Defender,,2,BRL,Brisbane,TRUE,1,15,82,127,1776,118.4,0.440944882,0.692567568,70.33,66.6,66.6,56,1230,0,4767.073171,155,150,-5,300,7,120,1,76,7,93,0,20,0,7,-2,-10,0,0,0,0,0,0,none,,,3127,8.30%,8.327563249,RIC,post,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,18,5,D,E,F,1566710400,WIN &lt;br&gt;87 - 75,NTH,post,H,56,66,7,1,7,0,0,-2,0,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Harris Andrews,TRUE
4,634,294674,Vlastuin,Nick,N,DEF,,Defender,,12,RIC,Richmond,TRUE,1,16,87.69,107,1640,102.5,0.635514019,0.855487805,85.33,89,89,68,1403,119,5111.332858,98,87,-11,232,12,167,9,138,8,106,2,47,0,13,-1,-14,0,0,0,1,0,1,none,,,2909,7.70%,7.747003995,BRL,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,6,D,E,F,1566710400,WIN &lt;br&gt;101 - 63,PTA,post,N,68,100,12,9,8,2,0,-1,0,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Nick Vlastuin,TRUE
5,168,996487,Phillips,Tom,T,MID,,Midfielder,,4,COL,Collingwood,TRUE,1,17,84.18,113,1827,107.4705882,0.584070796,0.783251232,91.33,89,89,66,1431,71,5227.113906,84,80,-4,246,15,255,4,157,2,90,3,37,1,9,0,-4,0,0,0,10,0,8,none,,,2789,7.40%,7.427430093,ESS,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,7,M,I,D,1566553800,LOSS &lt;br&gt;75 - 122,GWS,post,T,66,81,15,4,2,3,1,0,0,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Tom Phillips,TRUE
6,507,280921,Cunnington,Ben,B,MID,,Midfielder,,9,NTH,North Melbourne,TRUE,1,17,107.71,95,1630,95.88235294,1.105263158,1.123312883,82.67,90.6,90.6,105,1831,85,4639.486619,12,14,2,48,10,148,11,315,2,45,8,63,0,22,-2,-27,0,0,1,6,0,5,none,,,3621,9.60%,9.643142477,MEL,post,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18,8,M,I,D,1566619800,LOSS &lt;br&gt;75 - 87,BRL,post,B,105,86,10,11,2,8,0,-2,0,1,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Ben Cunnington,TRUE
7,527,290738,Polec,Jared,J,MID,,Midfielder,,9,NTH,North Melbourne,TRUE,1,17,86.76,109,1839,108.1764706,0.577981651,0.80206634,79.67,77,77,63,1475,117,4952.474576,69,67,-2,264,13,247,7,131,5,80,2,40,1,10,-3,-16,0,0,1,12,0,9,none,,,3069,8.20%,8.17310253,MEL,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,9,M,I,D,1566619800,LOSS &lt;br&gt;75 - 87,BRL,post,J,63,78,13,7,5,2,1,-3,0,1,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Jared Polec,TRUE
