,Team Name,Coach,Round_x,Full Name_x,pts,Match Name,Fanfooty Match ID
30,Fire The Worpedo,James,1,Jack Darling,75,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6906
92,Swimming n Titch,Mark,1,Alex Rance,36,Swimming n Titch vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6901
113,DEVQON.1,Lester,1,Tom Doedee,56,Swimming n Titch vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6904
148,TryingAnewStratton,Paul,1,Liam Shiels,54,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6904
192,Salt&VinegarCripps,Anthony,2,Marc Murphy,51,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6913
201,Barbeques Treloar,Simon,2,Andrew McGrath,74,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6912
207,Barbeques Treloar,Simon,2,Jack Riewoldt,33,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6910
332,Swimming n Titch,Mark,2,Luke Ryan,78,TryingAnewStratton vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6918
334,Swimming n Titch,Mark,2,Steven May,23,TryingAnewStratton vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6914
355,Salt&VinegarCripps,Anthony,3,Dan Houston,72,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6923
361,Salt&VinegarCripps,Anthony,3,Tom McDonald,26,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6920
405,DEVQON.1,Lester,3,Darcy Moore,79,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6924
412,DEVQON.1,Lester,3,Tom Rockliff,36,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6923
422,Fire The Worpedo,James,3,Jayden Short,7,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6922
521,Barbeques Treloar,Simon,3,Nat Fyfe,63,TryingAnewStratton vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6927
544,Barbeques Treloar,Simon,4,Chris Mayne,7,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6929
545,Barbeques Treloar,Simon,4,Callum Sinclair,35,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6928
