Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Playing Next,Owner,Waiver,Free Agent,Trade Status,Total Pts,Rds,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note
808,Luke,Shuey,MID,,WCE,N/A,N/A,N/A,Swimming n Titch,,,owner,2221,22,107,100.95,91.33,91.2,N/A,Shuey was one of just 3 Eagles over 100 this week. He had 26 touches and 23 were kicks which was great for us. He could have scored better as just 57% of those disposals were effective but it wasn't a great night for them so don't panic just yet.,
270,Michael,Walters,FWD,MID,FRE,N/A,N/A,N/A,TryingAnewStratton,,,owner,2217,22,74,100.77,84.67,100.8,N/A,Walters had a great JLT with an 86 and 92. But are you game enough to select him? Last year he burnt us with suspensions and poor scoring.,
661,Rowan,Marshall,FWD,,STK,N/A,N/A,N/A,DEVQON.1,,,owner,2205,20,94,110.25,95.33,104,N/A,N/A,
316,Jarrod,Witts,RUC,,GCS,N/A,N/A,N/A,Swimming n Titch,,,owner,2193,22,152,99.68,129.33,120.2,N/A,N/A,
68,Jarryd,Lyons,MID,,BRL,N/A,N/A,N/A,Fire The Worpedo,,,owner,2169,22,92,98.59,125,113.8,N/A,Lyons had a good preseason at his new home with a 109 then a huge 147. He doesn't come cheap at $502k but an interesting unique selection for you.,
5,Brad,Crouch,MID,,ADE,N/A,N/A,N/A,Fire The Worpedo,,,owner,2164,22,59,98.36,82.33,89.4,N/A,Crouch had 28 and kicked 2 goals but it was his efficiency which hurt him at 67%. However 91 still a good start for a guy that didn't play last season and was very underpriced. Look for him to build from here.,
361,Tom,Stewart,DEF,,GEE,N/A,N/A,N/A,Man of Steele,,,owner,2160,22,124,98.18,108,98,N/A,N/A,
672,Sebastian,Ross,MID,,STK,N/A,N/A,N/A,Man of Steele,,,owner,2151,22,126,97.77,123.67,126,N/A,Ross had 27 touches but didn't have any tackles which kept his scoring down. Look for him to improve this week and hopefully return to the scoring we bought him in for.,
786,Andrew,Gaff,MID,,WCE,N/A,N/A,N/A,DEVQON.1,,,owner,2148,20,134,107.4,120.67,116.2,N/A,N/A,
455,James,Worpel,FWD,MID,HAW,N/A,N/A,N/A,Fire The Worpedo,,,owner,2135,22,72,97.05,113.67,119.2,N/A,Worpel top scored for the Hawks as he showed that his JLT form was no fluke. His 27 touches resulted in 2 goals and he had the most contested possessions for the Hawks with 12.,
