,Round,Game Number,ID,Team Name,Coach,Final,Points,Rank,Opponent ID,Opponent Team Name,Opponent Coach,Opponent Final,Opponent Points,Opponent Rank
31,8,4,25252,Casting Crouch,Jordan,18,1549,5,397,Man of Steele,Luke,18,1717,2
30,8,3,8740,Barbeques Treloar,Simon,17,1523,6,11070,Fire The Worpedo,James,18,1583,4
29,8,2,2501,Swimming n Titch,Mark,18,1509,7,7061,DEVQON.1,Lester,18,1884,1
28,8,1,831,Salt&VinegarCripps,Anthony,18,1508,8,344,TryingAnewStratton,Paul,18,1687,3
34,9,3,397,Man of Steele,Luke,18,1839,1,7061,DEVQON.1,Lester,18,1765,3
35,9,4,11070,Fire The Worpedo,James,18,1812,2,25252,Casting Crouch,Jordan,18,1405,8
34,9,3,7061,DEVQON.1,Lester,18,1765,3,397,Man of Steele,Luke,18,1839,1
32,9,1,344,TryingAnewStratton,Paul,18,1717,4,2501,Swimming n Titch,Mark,18,1632,5
32,9,1,2501,Swimming n Titch,Mark,18,1632,5,344,TryingAnewStratton,Paul,18,1717,4
33,9,2,831,Salt&VinegarCripps,Anthony,18,1605,6,8740,Barbeques Treloar,Simon,18,1507,7
33,9,2,8740,Barbeques Treloar,Simon,18,1507,7,831,Salt&VinegarCripps,Anthony,18,1605,6
35,9,4,25252,Casting Crouch,Jordan,18,1405,8,11070,Fire The Worpedo,James,18,1812,2
37,10,2,2501,Swimming n Titch,Mark,18,1746,1,397,Man of Steele,Luke,18,1632,5
36,10,1,344,TryingAnewStratton,Paul,18,1720,2,8740,Barbeques Treloar,Simon,18,1686,3
36,10,1,8740,Barbeques Treloar,Simon,18,1686,3,344,TryingAnewStratton,Paul,18,1720,2
39,10,4,11070,Fire The Worpedo,James,18,1641,4,7061,DEVQON.1,Lester,17,1471,7
37,10,2,397,Man of Steele,Luke,18,1632,5,2501,Swimming n Titch,Mark,18,1746,1
38,10,3,831,Salt&VinegarCripps,Anthony,18,1627,6,25252,Casting Crouch,Jordan,17,1386,8
39,10,4,7061,DEVQON.1,Lester,17,1471,7,11070,Fire The Worpedo,James,18,1641,4
38,10,3,25252,Casting Crouch,Jordan,17,1386,8,831,Salt&VinegarCripps,Anthony,18,1627,6
40,11,1,344,TryingAnewStratton,Paul,18,1874,1,397,Man of Steele,Luke,18,1597,5
42,11,3,11070,Fire The Worpedo,James,18,1730,2,2501,Swimming n Titch,Mark,17,1551,6.5
43,11,4,831,Salt&VinegarCripps,Anthony,18,1691,3,7061,DEVQON.1,Lester,17,1644,4
43,11,4,7061,DEVQON.1,Lester,17,1644,4,831,Salt&VinegarCripps,Anthony,18,1691,3
40,11,1,397,Man of Steele,Luke,18,1597,5,344,TryingAnewStratton,Paul,18,1874,1
41,11,2,8740,Barbeques Treloar,Simon,18,1551,6.5,25252,Casting Crouch,Jordan,18,1448,8
42,11,3,2501,Swimming n Titch,Mark,17,1551,6.5,11070,Fire The Worpedo,James,18,1730,2
41,11,2,25252,Casting Crouch,Jordan,18,1448,8,8740,Barbeques Treloar,Simon,18,1551,6.5
46,12,3,8740,Barbeques Treloar,Simon,16,1603,1,7061,DEVQON.1,Lester,13,1280,4
47,12,4,831,Salt&VinegarCripps,Anthony,17,1596,2,2501,Swimming n Titch,Mark,17,1465,3
47,12,4,2501,Swimming n Titch,Mark,17,1465,3,831,Salt&VinegarCripps,Anthony,17,1596,2
46,12,3,7061,DEVQON.1,Lester,13,1280,4,8740,Barbeques Treloar,Simon,16,1603,1
44,12,1,25252,Casting Crouch,Jordan,15,1262,5,344,TryingAnewStratton,Paul,13,1053,7
45,12,2,11070,Fire The Worpedo,James,14,1256,6,397,Man of Steele,Luke,11,1020,8
